task_id,runtime,probs,support
1,0.75251,"[0.1, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1]","[1, 2, 3, 4, 5, 6, 7]"
2,0.9254125,"[0.125, 0.25, 0.375, 0.25]","[2, 5, 6, 7]"
3,0.90135,[1.0],[4]
4,0.952,[1.0],[3]
5,0.8197000000000001,"[0.6666666666666666, 0.3333333333333333]","[3, 6]"
6,0.8587666666666666,"[0.3333333333333333, 0.6666666666666666]","[1, 3]"
7,1.3447,[1.0],[2]
8,1.5137,[1.0],[6]
9,1.14845,"[0.5, 0.5]","[4, 7]"
10,1.3198,"[0.5, 0.5]","[2, 4]"
11,1.3709,[1.0],[5]
12,2.0414,[1.0],[4]
13,1.3976000000000002,"[0.5, 0.5]","[3, 4]"
14,1.5677,"[0.5, 0.5]","[2, 5]"
15,1.6124,[1.0],[5]
16,1.69235,"[0.5, 0.5]","[3, 6]"
