task_id,runtime,probs,support
1,3.021826171875,"[0.8, 0.2]","[4, 7]"
2,1.5650647640228272,"[0.2, 0.8]","[1, 4]"
3,3.2754767417907713,[1.0],[4]
4,1.4808923721313476,[1.0],[1]
5,1.2752697944641114,[1.0],[4]
6,1.885699987411499,"[0.2, 0.4, 0.4]","[2, 4, 7]"
7,3.6469322681427,[1.0],[4]
8,2.6371052265167236,[1.0],[4]
9,3.2832438468933107,"[0.2, 0.8]","[3, 4]"
10,1.8511152744293213,"[0.4, 0.2, 0.4]","[1, 3, 4]"
11,3.6658326625823974,[1.0],[4]
12,1.2999401092529297,"[0.2, 0.8]","[3, 4]"
13,5.172648334503174,"[0.8, 0.2]","[4, 7]"
14,1.5844988822937012,[1.0],[4]
15,3.055522584915161,"[0.8, 0.2]","[4, 5]"
16,4.56410584449768,[1.0],[1]
17,2.99411997795105,[1.0],[4]
18,2.5594060897827147,"[0.8, 0.2]","[4, 5]"
19,1.7906062126159668,[1.0],[4]
20,2.230092239379883,[1.0],[4]
21,3.660326385498047,"[0.2, 0.8]","[1, 4]"
22,7.362756538391113,"[0.8, 0.2]","[1, 4]"
23,3.2540382385253905,[1.0],[4]
24,5.0428849220275875,"[0.2, 0.6, 0.2]","[1, 4, 5]"
25,1.4318555831909179,"[0.2, 0.8]","[1, 4]"
26,2.815012741088867,[1.0],[4]
27,3.6323594570159914,"[0.6, 0.4]","[1, 4]"
28,2.0057992458343508,"[0.2, 0.8]","[1, 4]"
29,1.9595108032226562,[1.0],[4]
30,2.4387466430664064,[1.0],[4]
31,3.170601224899292,"[0.8, 0.2]","[4, 7]"
32,2.686867523193359,[1.0],[4]
33,2.6894731521606445,"[0.8, 0.2]","[4, 5]"
34,3.8734479427337645,"[0.8, 0.2]","[1, 7]"
35,4.268883609771729,"[0.2, 0.8]","[3, 4]"
36,2.038388252258301,"[0.6, 0.4]","[4, 7]"
37,4.052292966842652,"[0.2, 0.4, 0.4]","[1, 4, 7]"
38,1.4541906833648681,[1.0],[4]
39,3.5051555156707765,"[0.2, 0.8]","[3, 4]"
40,1.32459397315979,"[0.4, 0.6]","[1, 4]"
41,1.2973198890686035,[1.0],[4]
42,2.3253642559051513,"[0.8, 0.2]","[4, 7]"
43,1.4269498348236085,[1.0],[4]
44,2.3805754661560057,[1.0],[4]
45,1.510101318359375,[1.0],[4]
46,1.564213752746582,"[0.8, 0.2]","[1, 4]"
47,1.898637342453003,[1.0],[4]
48,1.6754864692687987,[1.0],[4]
